iter	MultiClass
0	1.260142541
1	1.152750892
2	1.064957983
3	0.9934413069
4	0.9310773589
5	0.8741990823
6	0.824810398
7	0.7817541717
8	0.7421699229
9	0.7062075628
10	0.6733444422
11	0.6448253676
12	0.6178891813
13	0.5927957518
14	0.5703707377
15	0.5491950728
16	0.5292211768
17	0.5120708072
18	0.4956565299
19	0.4788703114
20	0.4640306838
21	0.4506712869
22	0.4377418062
23	0.4261512875
24	0.4141573964
25	0.4037296502
26	0.3942333465
27	0.3852773061
28	0.3770366766
29	0.3688754107
30	0.3606493927
31	0.3531333053
32	0.345868703
33	0.3399662941
34	0.3344915942
35	0.3289242207
36	0.3239296214
37	0.3184420902
38	0.3132530348
39	0.3080437647
40	0.3037910122
41	0.2990755612
42	0.2947978781
43	0.2909643368
44	0.2876951937
45	0.2830069461
46	0.2795858248
47	0.2760635739
48	0.2734315444
49	0.2704811684
50	0.2673202065
51	0.2642013487
52	0.2616089775
53	0.2586487228
54	0.2559067327
55	0.2544088683
56	0.2515923104
57	0.2491875812
58	0.2478665149
59	0.2455236808
60	0.2425559476
61	0.2399952121
62	0.2379958457
63	0.2361368253
64	0.2338348586
65	0.2319760398
66	0.2299999682
67	0.2277956386
68	0.2258802624
69	0.2239529515
70	0.2222614254
71	0.2202417828
72	0.2185895038
73	0.2175292498
74	0.2160178379
75	0.2145561618
76	0.2137583589
77	0.212575796
78	0.2106282261
79	0.2096576064
80	0.2088265264
81	0.2073301839
82	0.206169634
83	0.2049710226
84	0.2038765103
85	0.2028490213
86	0.2019224971
87	0.2006073674
88	0.1995801114
89	0.1991349285
90	0.1981625591
91	0.1972708719
92	0.1964067157
93	0.1954752505
94	0.1944561026
95	0.1929018652
96	0.1921338513
97	0.1912375312
98	0.1906065844
99	0.1894802377
100	0.1884715917
101	0.1879750621
102	0.1872227666
103	0.1864514621
104	0.1856095781
105	0.1847813992
106	0.184052867
107	0.1831371825
108	0.182268431
109	0.1815885763
110	0.1810884638
111	0.1804898417
112	0.1796188692
113	0.1788801218
114	0.1779694858
115	0.1771405831
116	0.1762883418
117	0.176019747
118	0.1755975454
119	0.1748640132
120	0.1743448605
121	0.1736411079
122	0.1730068246
123	0.1724374719
124	0.1719747064
125	0.1713864598
126	0.1710667536
127	0.1706980059
128	0.1702604788
129	0.1696020842
130	0.1686827272
131	0.1682066941
132	0.1673956989
133	0.1668132831
134	0.1663277381
135	0.1657990605
136	0.16520035
137	0.1646217241
138	0.1641567576
139	0.1634194601
140	0.1630755759
141	0.162643008
142	0.1622979777
143	0.1618719758
144	0.1614027522
145	0.1611369692
146	0.1608667444
147	0.1601174965
148	0.1596763482
149	0.1591988493
150	0.1587333911
151	0.1577500267
152	0.1568506509
153	0.1563707606
154	0.1558851198
155	0.1553045033
156	0.1548217555
157	0.1542751734
158	0.1539229053
159	0.1534968854
160	0.1530047741
161	0.1526341013
162	0.1523316492
163	0.1519442496
164	0.1515053617
165	0.151058021
166	0.1506797217
167	0.1502536886
168	0.1495875801
169	0.1492167735
170	0.1487944536
171	0.1485632754
172	0.1483159689
173	0.1480211716
174	0.1475102252
175	0.1470928613
176	0.1465472895
177	0.1461266841
178	0.1457165234
179	0.1452476582
180	0.1450006288
181	0.1445449509
182	0.1442977598
183	0.1440310094
184	0.143752593
185	0.1433440192
186	0.1431693182
187	0.1428152063
188	0.1424722807
189	0.1421192801
190	0.141717634
191	0.1414998323
192	0.1413032948
193	0.1410042353
194	0.1408349013
195	0.140726105
196	0.1401069021
197	0.1397877283
198	0.139326805
199	0.139073088
200	0.1388489963
201	0.138288859
202	0.1379910064
203	0.1377182297
204	0.1375138437
205	0.137326193
206	0.1370359149
207	0.1366894948
208	0.1363141999
209	0.1361221817
210	0.1359284652
211	0.1356675758
212	0.1354734441
213	0.1350679309
214	0.1345720287
215	0.1342383525
216	0.1340107295
217	0.1337121917
218	0.1334144383
219	0.1331177228
220	0.1329401359
221	0.1326572902
222	0.1325502342
223	0.1323742893
224	0.1320536894
225	0.1318363718
226	0.1317267883
227	0.1314105492
228	0.1312551206
229	0.1310330758
230	0.1306590543
231	0.1304744938
232	0.1301337581
233	0.1300364445
234	0.129747399
235	0.1294872653
236	0.1292972877
237	0.1291305948
238	0.1288692268
239	0.1287192803
240	0.1285138081
241	0.1282629836
242	0.1279194232
243	0.1276425896
244	0.1273776744
245	0.1270999641
246	0.1269435361
247	0.1268094933
248	0.1267169345
249	0.1262853401
250	0.1260067347
251	0.1259286982
252	0.1257729818
253	0.1256688041
254	0.1253574945
255	0.125194543
256	0.1250804138
257	0.1249537341
258	0.1248563973
259	0.1245795459
260	0.1242331298
261	0.1240544475
262	0.1239140524
263	0.1236885772
264	0.1234959054
265	0.1232980832
266	0.1231376422
267	0.1230556839
268	0.122947652
269	0.1225899737
270	0.1223813561
271	0.122241411
272	0.1220446596
273	0.1218886818
274	0.1217125948
275	0.1215905778
276	0.1214095794
277	0.1211969731
278	0.1209749451
279	0.1208647062
