iter	Passed	Remaining
0	148	41344
1	229	31883
2	337	31154
3	444	30647
4	545	30017
5	665	30379
6	747	29143
7	1009	34336
8	1213	36529
9	1376	37156
10	1767	43218
11	2125	47474
12	2280	46847
13	2439	46350
14	2591	45789
15	2689	44378
16	2803	43370
17	2902	42241
18	3010	41353
19	3107	40397
20	3206	39540
21	3287	38555
22	3373	37690
23	3456	36866
24	3562	36334
25	3652	35685
26	3738	35035
27	3844	34598
28	3954	34225
29	4042	33686
30	4134	33208
31	4221	32715
32	4298	32170
33	4390	31767
34	4475	31329
35	4570	30979
36	4657	30591
37	4777	30423
38	4885	30189
39	5087	30523
40	5209	30364
41	5301	30043
42	5448	30027
43	5537	29699
44	5606	29280
45	5687	28932
46	5807	28789
47	5885	28448
48	5953	28066
49	6025	27716
50	6098	27381
51	6181	27103
52	6263	26827
53	6322	26461
54	6520	26675
55	6574	26297
56	6681	26138
57	6739	25794
58	6889	25804
59	6947	25475
60	7020	25204
61	7090	24930
62	7150	24630
63	7226	24390
64	7309	24177
65	7375	23914
66	7433	23632
67	7495	23366
68	7567	23142
69	7635	22906
70	7693	22647
71	7747	22382
72	7812	22153
73	7867	21902
74	7929	21674
75	7980	21421
76	8034	21181
77	8089	20948
78	8151	20738
79	8224	20560
80	8292	20373
81	8358	20183
82	8421	19987
83	8482	19792
84	8549	19612
85	8660	19537
86	8829	19586
87	8921	19464
88	9020	19359
89	9086	19182
90	9213	19136
91	9274	18951
92	9346	18793
93	9418	18635
94	9495	18490
95	9570	18343
96	9648	18202
97	9724	18059
98	9787	17894
99	9869	17764
100	9939	17616
101	10018	17483
102	10087	17334
103	10159	17192
104	10226	17044
105	10303	16913
106	10358	16747
107	10408	16576
108	10456	16404
109	10514	16250
110	10567	16088
111	10618	15927
112	10669	15768
113	10747	15650
114	10819	15523
115	10892	15400
116	10957	15265
117	11021	15130
118	11080	14990
119	11143	14858
120	11199	14716
121	11251	14572
122	11316	14445
123	11382	14319
124	11434	14179
125	11494	14049
126	11559	13926
127	11622	13802
128	11682	13674
129	11744	13550
130	11826	13451
131	11881	13321
132	11944	13201
133	12006	13081
134	12066	12960
135	12127	12840
136	12256	12793
137	12332	12690
138	12463	12643
139	12554	12554
140	12606	12427
141	12667	12310
142	12722	12189
143	12774	12064
144	12838	11953
145	12901	11841
146	12957	11723
147	13023	11615
148	13090	11509
149	13154	11400
150	13226	11299
151	13300	11200
152	13370	11098
153	13424	10983
154	13480	10871
155	13545	10766
156	13608	10661
157	13685	10567
158	13746	10460
159	13799	10349
160	13870	10251
161	13943	10156
162	14004	10052
163	14078	9958
164	14175	9879
165	14258	9792
166	14355	9713
167	14442	9628
168	14529	9543
169	14622	9461
170	14718	9382
171	14777	9278
172	14831	9173
173	14898	9075
174	14955	8973
175	15010	8869
176	15068	8768
177	15127	8668
178	15190	8571
179	15240	8466
180	15304	8370
181	15360	8270
182	15416	8171
183	15477	8075
184	15534	7977
185	15596	7882
186	15646	7781
187	15713	7689
188	15783	7599
189	15851	7508
190	15913	7415
191	15960	7315
192	16008	7216
193	16061	7119
194	16120	7026
195	16171	6930
196	16232	6839
197	16286	6744
198	16360	6659
199	16430	6572
200	16480	6477
201	16538	6386
202	16603	6297
203	16661	6207
204	16716	6115
205	16763	6021
206	16809	5927
207	16864	5837
208	16914	5746
209	16966	5655
210	17008	5562
211	17073	5476
212	17119	5384
213	17176	5297
214	17238	5211
215	17297	5125
216	17361	5040
217	17422	4954
218	17487	4870
219	17543	4784
220	17590	4696
221	17639	4608
222	17698	4523
223	17748	4437
224	17801	4351
225	17846	4264
226	17895	4178
227	17964	4097
228	18023	4013
229	18070	3928
230	18138	3847
231	18197	3764
232	18254	3682
233	18300	3597
234	18343	3512
235	18391	3428
236	18446	3346
237	18490	3263
238	18541	3180
239	18585	3097
240	18634	3015
241	18683	2933
242	18747	2854
243	18799	2773
244	18864	2694
245	18938	2617
246	18996	2537
247	19059	2459
248	19107	2378
249	19168	2300
250	19230	2221
251	19272	2141
252	19323	2062
253	19367	1982
254	19424	1904
255	19479	1826
256	19523	1747
257	19571	1668
258	19612	1590
259	19671	1513
260	19734	1436
261	19789	1359
262	19845	1282
263	19902	1206
264	19954	1129
265	20010	1053
266	20066	977
267	20122	900
268	20166	824
269	20228	749
270	20291	673
271	20353	598
272	20408	523
273	20456	447
274	20514	372
275	20571	298
276	20628	223
277	20678	148
278	20739	74
279	20794	0
